add-none,5,100,1000,579697,579,-57
add-none,5,1000,10000,1822785,182,-569
add-none,5,10000,100000,22584942,225,-2320
add-none,5,100000,1000000,97601827,97,-28027
add-none,1,10,20,185790,9289,0
add-none,10,1,20,785393,39269,0
add-none,20,5,200,1612835,8064,0
add-none,10,10,200,846561,4232,0
add-none,5,100,1000,531724,531,7
add-none,5,1000,10000,2362592,236,-355
add-none,5,10000,100000,22015673,220,-2740
add-none,5,100000,1000000,149018909,149,-24220
add-none,1,20,40,157084,3927,0
add-none,10,2,40,1588650,39716,0
add-none,20,10,400,1578725,3946,0
add-none,10,20,400,1024253,2560,-5
add-none,5,100,1000,659973,659,6
add-none,5,1000,10000,2823563,282,-325
add-none,5,10000,100000,21936717,219,-1502
add-none,5,100000,1000000,163765511,163,-142840
add-none,1,30,60,191800,3196,0
add-none,10,3,60,1366309,22771,0
add-none,20,15,600,1449894,2416,0
add-none,10,30,600,947871,1579,-8
add-none,5,100,1000,554623,554,0
add-none,5,1000,10000,2593642,259,-479
add-none,5,10000,100000,21795158,217,-2333
add-none,5,100000,1000000,165273451,165,-135099
add-none,1,40,80,158435,1980,0
add-none,10,4,80,1071670,13395,0
add-none,20,20,800,1608983,2011,0
add-none,10,40,800,747184,933,0
add-none,5,100,1000,415155,415,0
add-none,5,1000,10000,2103391,210,-243
add-none,5,10000,100000,22276915,222,-4811
add-none,5,100000,1000000,161640957,161,-56091
add-none,1,50,100,161266,1612,0
add-none,10,5,100,940076,9400,0
add-none,20,25,1000,1579044,1579,19
add-none,10,50,1000,1076566,1076,-9
add-none,5,100,1000,573379,573,0
add-none,5,1000,10000,2442828,244,-73
add-none,5,10000,100000,23410739,234,-3894
add-none,5,100000,1000000,144686653,144,-23523
add-none,1,60,120,161129,1342,0
add-none,10,6,120,999622,8330,0
add-none,20,30,1200,1625121,1354,0
add-none,10,60,1200,891547,742,0
add-none,5,100,1000,604682,604,0
add-none,5,1000,10000,2585673,258,-364
add-none,5,10000,100000,22728755,227,-1703
add-none,5,100000,1000000,137551991,137,-22325
add-none,1,70,140,163847,1170,0
add-none,10,7,140,1201066,8579,-5
add-none,20,35,1400,1422280,1015,0
add-none,10,70,1400,735868,525,6
add-none,5,100,1000,540100,540,0
add-none,5,1000,10000,1399641,139,367
add-none,5,10000,100000,19091228,190,-8396
add-none,5,100000,1000000,151638749,151,-35805
add-none,1,80,160,152992,956,0
add-none,10,8,160,920318,5751,0
